job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode
Middle/Senior Python Developer,Saigon Technology,Da Nang,"Python, AWS, Django, English, VueJS, ReactJS",2025-09-29 15:59:56,https://itviec.com/it-jobs/da-nang-scrum-master-one-tech-stop-vietnam-company-ltd-2507/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=10&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Scrum Master / Agile Coach,Hybrid (flexible between home and office)
[Da Nang] Scrum Master,ONE Tech Stop Vietnam Company Ltd,Ho Chi Minh,"Scrum, Team Management, Leadership, English, Agile",2025-09-29 15:59:56,https://itviec.com/it-jobs/senior-golang-developer-vnggames-1514/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=11&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Backend Developer,At office
Senior Golang Developer,VNGGames,Ho Chi Minh,"Golang, API, Java, Spring Boot, JavaScript",2025-09-29 15:59:57,https://itviec.com/it-jobs/software-architect-cloud-ci-cd-devops-ol-vietnam-4613/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=12&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Software/Technical Architect,At office
"Software Architect (Cloud, CI/CD, DevOps)",OL Vietnam,Ha Noi,"Software Architecture, Design Systems, CI/CD, AI, Cloud, DevOps",2025-09-29 14:59:58,https://itviec.com/it-jobs/fullstack-developer-net-react-sql-c-1500-awing-4342/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=13&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Fullstack Developer,At office
"Fullstack Developer (.NET, React, SQL, C#)- 1500$",AWING,Others - Da Nang - Ho Chi Minh,".NET, Kafka, SQL, C#, TypeScript, ReactJS",2025-09-29 14:59:58,https://itviec.com/it-jobs/bridge-system-engineer-web-mobile-brse-full-remote-brycen-vietnam-5536/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=14&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Bridge System Engineer (BrSE),At office
"Bridge System Engineer (Web/Mobile BrSE, full-remote)",Brycen Vietnam,Others - Ho Chi Minh - Da Nang,"Bridge Engineer, AI, C#, Japanese, Java, Mobile Apps",2025-09-29 14:59:59,https://itviec.com/it-jobs/senior-engineer-web-mobile-app-brycen-vietnam-5318/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=15&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Fullstack Developer,Remote (don't have to come to the office)
Senior Software Engineer (Web/Mobile App),Brycen Vietnam,Ho Chi Minh,"Software Architecture, MySQL, .NET, Spring Boot, Java, Fullstack",2025-09-29 15:00:00,https://itviec.com/it-jobs/data-engineer-sql-agile-live-payments-2546/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=16&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Data Engineer,Hybrid (flexible between home and office)
"Data Engineer (SQL, Agile)",Live Payments,Ho Chi Minh,"SQL, ETL, Big Data, Business Intelligence, AWS, English",2025-09-29 15:00:00,https://itviec.com/it-jobs/system-engineer-linux-vmware-banking-infrastructure-shinhan-ds-0844/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=17&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Systems Engineer / Administrator,At office
System Engineer (Linux/VMware) Banking Infrastructure,SHINHAN DS,Ho Chi Minh,"Linux, Hardware Troubleshooting, VMware, Bash Shell, System Admin, Python",2025-09-29 15:00:01,https://itviec.com/it-jobs/senior-odoo-developer-python-teamflow-gmbh-5934/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=18&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Backend Developer,At office
Senior Odoo Developer (Python),Teamflow GmbH,Ho Chi Minh,"Odoo, AI, Azure, Agile, English, Python",2025-09-29 15:00:02,https://itviec.com/it-jobs/cyber-security-application-security-specialist-hongthai-technical-1327/content?gclid=Cj0KCQjww4TGBhCKARIsAFLXndQgzZQI0SGRl1LxZhaw_FzN2dHbuYrhALpvzuskT4sxlpOABlE3cEIaAmQSEALw_wcB&job_index=19&locale=en&utm_campaign=gsn_brand_hcm_mc&utm_content=itviec&utm_medium=cpc&utm_source=google&utm_term=itviec,Security Engineer,At office
