job_title,company_name,location,skills_required,date_posted,job_link,job_category,work_mode,crawl_date
"[Mid/Sr] Fullstack Developer (Java, VueJS)",RIKKEISOFT,Ho Chi Minh - Ha Noi,"QA QC, Leadership, Scrum, Japanese, Tester, Agile",2025-12-05 07:11:14,https://itviec.com/it-jobs/senior-manager-qa-qc-engineer-tester-japanese-n2-andpad-vietnam-co-ltd-3028/content?job_index=14&locale=en&page=24,Test Coordinator / QAQC Coordinator,"2F, Building C, Office Area, Udic Complex, Hoang Dao Thuy Street, Yen Hoa Ward, Cau Giay, Ha Noi",2025-12-20 07:17:44
Project Manager (Firmware/Hardware),Gremsy JSC,Ho Chi Minh,"DevOps, Linux, Kubernetes, PostgreSql, Oracle, Windows Server",2025-12-03 07:11:51,https://itviec.com/it-jobs/cv-cvcc-quan-ly-ung-dung-hdbank-4054/content?job_index=1&locale=en&page=27,DevOps Engineer,At office,2025-12-20 07:17:44
Test Engineer (Blockchain/ Web3/ Tester/ QA QC),Nexsoft Technology,Ho Chi Minh,"DevOps, Azure, AWS, CI/CD, Linux, Cloud",2025-12-03 07:11:53,https://itviec.com/it-jobs/devops-engineer-cloud-linux-ci-cd-aws-azure-nexsoft-technology-0123/content?job_index=9&locale=en&page=27,DevOps Engineer,At office,2025-12-20 07:17:44
"Giám Đốc Phát Triển Ứng Dụng (DevOps, Database, API)",Ngân Hàng Á Châu | ACB,Ho Chi Minh,"AI, Machine Learning, Team Management, C++, SQL, Python",2025-12-03 07:11:54,https://itviec.com/it-jobs/team-leader-ai-ml-engineer-arsen-kawaijuku-tech-vietnam-co-ltd-5833/content?job_index=12&locale=en&page=27,AI / Machine Learning Engineer,At office,2025-12-20 07:17:44
Senior Application Operations (Vận hành ứng dụng),Công ty Cổ phần Thanh toán số MobiFone,Ho Chi Minh,"Tester, English, QA QC",2025-12-01 07:12:31,https://itviec.com/it-jobs/chuyen-vien-qc-manual-tester-qa-qc-sacombank-2910/content?job_index=10&locale=en&page=29,Manual Tester,At office,2025-12-20 07:17:44
Associate Manager AI Engineer,Pizza Hut Digital & Technology,Ho Chi Minh,"Java, SSO, Identity & Access Management, API, AWS, Python",2025-12-01 07:12:33,https://itviec.com/it-jobs/api-integration-engineer-java-python-golang-tymex-1444/content?job_index=14&locale=en&page=29,Integration & Legacy Systems Developer,Hybrid (flexible between home and office),2025-12-20 07:17:44
Senior Database Administrator / Data Engineeer,Innova -Software Research and Development,Ha Noi,"UI-UX, CSS, HTML, InDesign, Adobe Illustrator, Adobe Photoshop",2025-12-01 07:12:36,https://itviec.com/it-jobs/web-designer-ui-ux-softflex-llc-co-ltd-5342/content?job_index=17&locale=en&page=29,UX/UI Designer,At office,2025-12-20 07:17:44
Web Designer (UI/UX),"SOFTFLEX LLC CO.,LTD",Ho Chi Minh,"DevOps, Software Architecture, Python, Cloud, AWS",2025-12-01 07:12:36,https://itviec.com/it-jobs/senior-system-engineer-senior-devops-sre-ths-game-5404/content?job_index=18&locale=en&page=29,DevOps Engineer,At office,2025-12-20 07:17:44
Senior Backend Developer (Golang),VNGGames,Ha Noi,"Unity, UI-UX, C#",2025-11-30 07:12:49,https://itviec.com/it-jobs/unity-developer-vr360-3d-models-c-cong-ty-co-phan-yootek-hokdings-2653/content?job_index=10&locale=en&page=30,Software/Technical Architect,At office,2025-12-20 07:17:44
"Expert Backend Engineer (AWS, DevOps)",PNJ,Ha Noi,"Security, Endpoint Protection, IDS/IPS, SIEM, Firewall, Networking",2025-11-29 07:12:51,https://itviec.com/it-jobs/security-engineer-firewall-siem-ids-ips-cong-ty-co-phan-devyt-0151/content?job_index=15&locale=en&page=30,Security Engineer,At office,2025-12-20 07:17:44
